farmer.name,species,initial_height_cm,initial_rcd_mm,days_interval,m1_height_cm,m1_rcd_mm,m1_width_cm,m1_health_score,survival_status
c,9,34,2.5,124,43,4.3,33,2.5,alive
a,2,30,2.4,124,32,6.1,34,1.5,alive
a,3,54,2.4,124,87,7.6,61,2,alive
a,6,43,2.4,124,53,7.6,61,2.5,alive
a,9,30,2.4,124,39.5,4.8,40,2,alive
a,13,32,2.4,124,39,6.8,27,3,alive
b,9,33,2.4,124,34,3.7,21,2.5,alive
c,2,39,2.4,124,18,4.6,26,2,alive
c,5,33,2.4,124,23,4.9,36,3,alive
c,12,39,2.4,124,32.5,3.3,0,0.5,alive
a,3,45,2.3,124,23,2.3,3,0.5,alive
a,9,31,2.3,124,34,5.2,40,2,alive
b,2,32,2.3,124,30,4.9,11,0.5,alive
b,6,46,2.3,124,29,3.5,13,0.5,alive
b,6,49,2.3,124,36,2.6,0,0.5,alive
c,3,30,2.3,124,19,2.6,5,1,alive
a,2,36,2.2,124,30,7.5,36,2,alive
b,3,55,2.2,124,49,2.6,23,1,alive
a,15,32,2.1,124,26,7.8,38,2.5,alive
b,3,45,2.1,124,40.5,3.4,7,1,alive
c,3,34,2.1,124,20,3.8,28,2,alive
a,2,30,2,124,88,2.6,114,2.5,alive
a,3,30,2,124,88,7.4,78,2,alive
a,6,41,2,124,45,8,60,2.5,alive
c,3,40,2,124,38,3.1,24,2,alive
c,3,44,2,124,22,2.5,21,2.5,alive
a,6,51,1.9,124,54.5,6.8,42,3,alive
a,6,60,1.9,124,60,8,40,2.5,alive
b,18,30,1.9,124,36,2.8,18,2,alive
c,3,52,1.9,124,23,6.1,0,0.5,alive
a,3,43,1.8,124,68,9.7,46,2,alive
a,10,36,1.8,124,0,0,0,0,dead
b,3,34,1.8,124,12,2.6,2.5,1,alive
c,3,50,1.8,124,24.5,2.9,0,0.5,alive
c,9,35,1.8,124,0,0,0,0,dead
a,6,47,1.7,124,57,11,61,3,alive
c,9,30,1.7,124,0,0,0,0,dead
a,9,30,1.6,124,54,5.5,17,2,alive
c,6,40,1.6,124,18,1.5,8,2,alive
c,2,35,1.5,124,37.5,4.5,34,1.5,alive
c,6,43,1.4,124,0,0,0,0,dead
